id,Truss_number,Truss_type,Qnty,ply,Job_Reference,Size (ft),Status,User,Date_Insert,Date_Update
1,T001,,5,2,"Av. Central, 789",12,On Hold,,2025-10-02T14:13:15.185250,2025-10-02T14:13:15.185250
2,T002,,6,2,"Av. Central, 789",12,Completed,,2025-10-02T14:13:15.185250,2025-10-02T14:13:15.185250
3,T003,,1,3,"Av. Central, 789",6,On Hold,,2025-10-02T14:13:15.185250,2025-10-02T14:13:15.185250
4,T004,,9,3,"Av. Central, 789",8,Ongoing,,2025-10-02T14:13:15.185250,2025-10-02T14:13:15.185250
5,T005,,11,2,"Av. Central, 789",10,Completed,,2025-10-02T14:13:15.185250,2025-10-02T14:13:15.185250
6,T006,,10,3,"Av. Central, 789",6,On Hold,,2025-10-02T14:13:15.185250,2025-10-02T14:13:15.185250
7,T007,,8,3,"Av. Central, 789",8,On Hold,,2025-10-02T14:13:15.185250,2025-10-02T14:13:15.185250
8,T008,,6,2,"Av. Central, 789",14,On Hold,,2025-10-02T14:13:15.185250,2025-10-02T14:13:15.185250
9,T009,,2,4,"Av. Central, 789",6,Ongoing,,2025-10-02T14:13:15.185250,2025-10-02T14:13:15.185250
10,T010,,3,2,"Av. Central, 789",6,Ongoing,,2025-10-02T14:13:15.185250,2025-10-02T14:13:15.185250
